3509464	{"duration": 3511, "distance": 56978, "price": 202}	{"duration": 7860, "distance": 63181, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 1268, "name": "地铁12号线", "stop_num": 1, "off_station": "巨峰路站", "on_station": "杨高北路站(1口)", "duration": 180, "type": 2}, {"duration": 145, "distance": 175, "type": 1}, {"distance": 2439, "name": "地铁6号线", "stop_num": 2, "off_station": "五洲大道站", "on_station": "巨峰路站", "duration": 300, "type": 2}, {"duration": 209, "distance": 259, "type": 1}, {"distance": 57117, "name": "申崇六线b线", "stop_num": 2, "off_station": "堡镇汽车站(下客站)站", "on_station": "五洲大道地铁站", "duration": 4584, "type": 2}, {"duration": 348, "distance": 435, "type": 1}]}
17182037	{"duration": 1931, "distance": 25575, "price": 88}	{"duration": 4492, "distance": 22624, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 19445, "name": "地铁12号线", "stop_num": 16, "off_station": "嘉善路站", "on_station": "杨高北路站(1口)", "duration": 2400, "type": 2}, {"distance": 1103, "name": "地铁9号线", "stop_num": 1, "off_station": "肇嘉浜路站", "on_station": "嘉善路站", "duration": 120, "type": 2}, {"duration": 459, "distance": 565, "type": 1}]}
19291562	{"duration": 1649, "distance": 18704, "price": 64}	{"duration": 4182, "distance": 19048, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 12762, "name": "地铁12号线", "stop_num": 11, "off_station": "天潼路站", "on_station": "杨高北路站(1口)", "duration": 1620, "type": 2}, {"distance": 4068, "name": "地铁10号线", "stop_num": 4, "off_station": "新天地站", "on_station": "天潼路站", "duration": 480, "type": 2}, {"duration": 519, "distance": 646, "type": 1}]}
67288814	{"duration": 3596, "distance": 66688, "price": 236}	{"duration": 10202, "distance": 70800, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 19445, "name": "地铁12号线", "stop_num": 16, "off_station": "嘉善路站", "on_station": "杨高北路站(1口)", "duration": 2400, "type": 2}, {"distance": 28477, "name": "地铁9号线", "stop_num": 13, "off_station": "洞泾站", "on_station": "嘉善路站", "duration": 2580, "type": 2}, {"duration": 212, "distance": 264, "type": 1}, {"distance": 20745, "name": "松朱专线", "stop_num": 17, "off_station": "祥凝浜路珠溪路(招呼站)站", "on_station": "洞泾地铁站", "duration": 2611, "type": 2}, {"duration": 286, "distance": 358, "type": 1}]}
79260234	{"duration": 1578, "distance": 22843, "price": 78}	{"duration": 4244, "distance": 17451, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 13806, "name": "地铁12号线", "stop_num": 12, "off_station": "曲阜路站", "on_station": "杨高北路站(1口)", "duration": 1740, "type": 2}, {"distance": 1146, "name": "地铁8号线", "stop_num": 1, "off_station": "人民广场站", "on_station": "曲阜路站", "duration": 180, "type": 2}, {"duration": 830, "distance": 1010, "type": 1}]}
76836809	{"duration": 1504, "distance": 22152, "price": 76}	{"duration": 5581, "distance": 22426, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 15029, "name": "地铁12号线", "stop_num": 13, "off_station": "汉中路站", "on_station": "杨高北路站(1口)", "duration": 1920, "type": 2}, {"duration": 402, "distance": 491, "type": 1}, {"distance": 5288, "name": "845路", "stop_num": 8, "off_station": "运城路广中西路站", "on_station": "长安路恒通路站", "duration": 1211, "type": 2}, {"duration": 104, "distance": 130, "type": 1}]}
500102	{"duration": 1480, "distance": 18000, "price": 61}	{"duration": 3870, "distance": 17007, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 13806, "name": "地铁12号线", "stop_num": 12, "off_station": "曲阜路站", "on_station": "杨高北路站(1口)", "duration": 1740, "type": 2}, {"distance": 1146, "name": "地铁8号线", "stop_num": 1, "off_station": "人民广场站", "on_station": "曲阜路站", "duration": 180, "type": 2}, {"duration": 456, "distance": 566, "type": 1}]}
26233390	{"duration": 1029, "distance": 12079, "price": 40}	{"duration": 3767, "distance": 16979, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 9411, "name": "地铁12号线", "stop_num": 8, "off_station": "大连路站", "on_station": "杨高北路站(1口)", "duration": 1140, "type": 2}, {"distance": 3600, "name": "地铁4号线", "stop_num": 3, "off_station": "世纪大道站", "on_station": "大连路站", "duration": 360, "type": 2}, {"distance": 1937, "name": "地铁2号线", "stop_num": 1, "off_station": "上海科技馆站", "on_station": "世纪大道站", "duration": 180, "type": 2}, {"duration": 443, "distance": 542, "type": 1}]}
3527989	{"duration": 1677, "distance": 19017, "price": 65}	{"duration": 4615, "distance": 19586, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 12762, "name": "地铁12号线", "stop_num": 11, "off_station": "天潼路站", "on_station": "杨高北路站(1口)", "duration": 1620, "type": 2}, {"distance": 4068, "name": "地铁10号线", "stop_num": 4, "off_station": "新天地站", "on_station": "天潼路站", "duration": 480, "type": 2}, {"duration": 952, "distance": 1184, "type": 1}]}
73582232	{"duration": 1890, "distance": 23155, "price": 80}	{"duration": 4710, "distance": 22531, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 12762, "name": "地铁12号线", "stop_num": 11, "off_station": "天潼路站", "on_station": "杨高北路站(1口)", "duration": 1620, "type": 2}, {"distance": 7265, "name": "地铁10号线", "stop_num": 6, "off_station": "上海图书馆站", "on_station": "天潼路站", "duration": 780, "type": 2}, {"duration": 747, "distance": 932, "type": 1}]}
18691561	{"duration": 3296, "distance": 65390, "price": 232}	{"duration": 8795, "distance": 60001, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 19445, "name": "地铁12号线", "stop_num": 16, "off_station": "嘉善路站", "on_station": "杨高北路站(1口)", "duration": 2400, "type": 2}, {"distance": 36095, "name": "地铁9号线", "stop_num": 16, "off_station": "松江体育中心站", "on_station": "嘉善路站", "duration": 3240, "type": 2}, {"duration": 223, "distance": 274, "type": 1}, {"distance": 2215, "name": "松莘线", "stop_num": 2, "off_station": "东区大道站", "on_station": "招商市场站", "duration": 451, "type": 2}, {"duration": 368, "distance": 461, "type": 1}]}
66755991	{"duration": 1941, "distance": 26079, "price": 90}	{"duration": 5129, "distance": 28687, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 9411, "name": "地铁12号线", "stop_num": 8, "off_station": "大连路站", "on_station": "杨高北路站(1口)", "duration": 1140, "type": 2}, {"distance": 16782, "name": "地铁4号线", "stop_num": 12, "off_station": "宜山路站", "on_station": "大连路站", "duration": 1680, "type": 2}, {"duration": 815, "distance": 1005, "type": 1}]}
3341992	{"duration": 3382, "distance": 66446, "price": 235}	{"duration": 8930, "distance": 59437, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 19445, "name": "地铁12号线", "stop_num": 16, "off_station": "嘉善路站", "on_station": "杨高北路站(1口)", "duration": 2400, "type": 2}, {"distance": 34521, "name": "地铁9号线", "stop_num": 15, "off_station": "松江新城站", "on_station": "嘉善路站", "duration": 3060, "type": 2}, {"duration": 391, "distance": 486, "type": 1}, {"distance": 3082, "name": "松江22路", "stop_num": 6, "off_station": "茸平路沪松公路站", "on_station": "松江新城地铁站", "duration": 653, "type": 2}, {"duration": 313, "distance": 392, "type": 1}]}
