14201979	894	348	345	134	35	32
18978925	2414	1147	940	248	37	42
4201484	1674	687	726	183	47	31
69137793	400	135	192	50	13	10
21659554	1843	888	664	210	42	39
18221013	4300	2581	1160	377	84	98
19708873	3801	2319	919	373	103	87
18264604	1094	550	348	116	30	50
27568155	950	473	335	86	24	32
92837679	33	19	8	4	1	1
93481196	31	26	4	0	0	1
3713191	1774	788	683	189	52	62
70435671	132	82	17	13	2	18
2735389	1110	453	428	131	14	28
560674	667	309	194	86	12	19
80875723	116	60	37	13	2	4
3383605	227	82	94	32	8	11
72336744	61	50	9	0	0	2
75201810	22	21	1	0	0	0
507301	619	245	166	30	5	13
22878255	213	140	51	18	0	4
501350	433	128	112	56	13	14
77351103	38	33	5	0	0	0
90453404	18	16	1	0	1	0
58213493	2378	993	886	291	71	137
10647622	4257	1763	1652	554	152	136
2368495	10894	4983	3410	1235	255	277
32385340	793	282	330	127	26	28
15859110	16305	10001	3972	1634	377	321
67328325	1120	461	448	148	26	37
8922356	5287	2790	1670	558	134	135
18477995	10019	3644	4174	1696	304	201
24335060	426	233	137	37	11	8
79044077	278	118	105	40	7	8
24071442	1490	580	582	238	41	49
10349556	18781	10068	5398	2409	507	399
11580874	4679	1948	1766	717	142	106
581292	849	218	323	142	13	13
58766780	2834	1093	1191	379	86	85
17651158	5453	1873	2595	785	111	89
67592847	981	413	372	135	20	41
67953434	641	290	227	87	16	21
45253971	1684	738	621	252	38	35
72348468	150	81	37	19	6	7
21302704	6133	5164	565	231	82	91
24960013	641	240	266	97	13	25
3671017	1727	996	467	175	38	51
565266	658	393	151	45	8	12
21564347	1772	693	692	304	50	33
16974118	167	125	27	6	3	6
68958379	135	77	30	19	5	4
4528317	414	168	151	59	14	22
66634591	125	62	49	4	5	5
67796584	78	44	20	6	3	5
15991088	358	173	111	42	23	9
3506722	202	74	89	25	6	8
66359525	62	38	21	1	0	2
91946776	154	104	42	7	0	1
75147857	968	360	386	127	37	58
38090481	4001	1375	1641	663	142	180
21609244	4366	1589	1877	658	136	106
45831205	3681	1262	1640	527	130	122
16979822	6855	3765	1915	795	209	171
72128820	604	210	233	99	15	47
500526	14144	5906	4091	1260	272	292
4298506	5424	1580	2489	964	235	156
38603848	2964	1074	1252	470	81	87
93460377	66	33	22	6	2	3
66446672	1296	588	451	170	32	55
93758882	43	27	12	2	0	2
92509536	77	36	30	7	0	4
21130097	7238	3259	2568	1009	193	209
20720812	3526	1364	1354	578	132	98
69230470	636	252	249	83	20	32
5324231	2297	719	985	369	109	115
19149052	3358	1327	1268	522	123	118
8040392	3204	1118	1372	510	86	118
65492611	5720	4706	619	197	75	123
