76296033	37381	529	16307	3823	3711
59431971	68536	545	12014	3090	2699
62918346	57515	304	8757	2213	2108
92963475	5240	316	4725	1877	1257
90908389	7744	296	4397	1751	1076
74620734	23658	306	8947	2158	2642
65003862	75374	232	5582	1448	1348
27292260	61003	288	5423	1420	1373
92403154	7395	151	4052	1050	892
67595145	21078	126	3129	747	735
92265146	3982	78	2383	588	494
92152297	1791	32	1269	280	235
22708306	34808	8	1514	53	168
67071007	195739	890	19499	5196	4491
32696950	92990	511	13419	3119	3047
32334572	180953	427	9160	2400	2151
67340455	81141	529	12225	3230	2781
67113564	32950	245	6061	1777	1568
17681009	44134	270	7286	2055	1822
24648175	71629	228	6089	1531	1520
68114492	19776	170	5371	1194	1263
90934013	3126	101	2510	913	642
32736166	56552	138	4250	1027	991
15859651	69965	186	3591	905	912
66380543	46881	126	3174	795	732
66658727	29196	135	4830	709	1048
13810918	50945	89	2245	506	477
90445203	4129	83	2566	486	414
72473621	3875	69	1844	431	433
20936992	32731	59	2244	457	584
18169879	24324	76	1404	436	353
83060750	8214	49	1991	289	323
91938312	2037	25	1140	254	216
90452723	37554	880	24200	5442	5883
18213260	44066	211	5701	2447	1088
18721633	85071	268	7601	1769	2017
58020666	16733	206	4342	1322	1240
58727709	19586	296	5389	1543	1358
67070664	37655	204	5465	1328	1328
75002405	9837	239	4424	1165	1025
77968401	10174	198	4504	1003	917
58897890	31025	141	4453	1017	1299
13847937	95627	187	3671	982	893
8566112	68896	157	3440	874	854
5269919	32550	94	2980	744	605
82334200	9934	96	3416	680	645
69138308	7546	129	2375	613	533
75212691	6456	171	2411	686	577
69617026	6363	87	2447	633	601
66014570	9040	78	2148	477	484
32658537	67676	65	2841	478	540
66891051	6834	40	830	233	189
91978359	49129	1111	35402	7713	8011
8994935	567274	460	14737	3062	2955
8729366	728541	491	12398	3168	2807
90042426	16141	384	10019	2302	2324
4283898	133131	392	11558	2588	2778
66348283	53113	365	8433	2081	1822
4560781	179018	354	8302	2135	1897
69314853	18403	243	5971	1454	1279
67192219	58383	202	7672	1484	2053
92099404	7811	239	5666	1490	1341
69652916	18421	219	6186	1318	1285
68973065	14970	199	5123	1425	1306
43619371	33489	154	4565	1025	985
67750317	10730	158	3053	787	717
2212846	90664	106	4518	836	850
3132400	14231	97	2534	863	568
38338297	13932	102	4245	748	750
66194225	25510	122	3334	751	845
4081276	89845	82	3583	575	623
6066552	68959	75	2798	525	575
2433649	33318	67	2238	466	540
67275495	5052	78	1504	450	362
69738692	2151	64	974	281	198
23890016	38071	38	1771	239	375
4679556	42668	41	1305	259	284
92384549	1677	37	950	190	164
58184228	4422	30	649	153	124
59403282	38404	11	1283	171	199
22236851	140017	13	887	80	159
68143118	42107	666	13589	3642	3118
67971624	14449	260	7364	2198	1859
56582729	67515	330	6308	1888	1499
15128401	164119	305	7132	1867	1753
24803140	63694	245	6401	1532	1585
2118085	144741	161	6672	1192	1348
67679752	25707	198	4985	1288	1163
23681791	82770	144	6141	1079	1189
77302619	9144	184	3237	893	740
70892911	6752	89	2595	774	579
32782152	41820	97	2198	560	526
77486290	5182	95	2414	665	566
5735194	186461	82	2711	437	529
6585813	33335	52	1859	396	718
83506022	9642	52	1902	315	336
18133698	30286	55	1395	294	349
74630185	6836	62	1290	301	273
90298174	2572	45	1427	260	281
91892362	1664	44	1058	227	264
77267726	2528	34	869	231	231
58674769	106857	722	22472	4400	4343
76733374	30076	527	15401	3650	3976
32447443	120438	447	8851	2325	1927
67899619	13626	450	6117	2180	1492
10661604	159331	306	8561	2280	2093
65794950	93066	281	8121	1877	2021
69326936	12684	266	5719	1470	1301
5307944	270524	273	5920	1564	1378
69284503	12137	147	4641	986	1017
72355477	10192	173	5170	1293	1419
69690014	9507	145	4335	1017	1148
26230953	14112	134	3395	937	923
90037690	6861	129	4447	1003	1142
69648728	7207	141	3098	907	727
90018113	13665	108	10066	902	1372
5115451	236254	107	3893	882	924
22544185	33269	121	2775	645	628
4545205	47050	131	3274	780	727
82244388	2745	85	1232	396	258
52348724	22938	63	1319	362	294
3991261	66056	45	1467	365	390
62197104	10181	75	1313	333	296
74607873	2807	37	1169	265	274
69466849	1621	32	934	272	230
14072198	9999	41	1239	307	292
92221269	1322	30	885	210	226
82681372	6954	32	1402	216	244
69727559	1425	9	317	69	51
92309076	467	5	234	47	53
75194085	11371	275	7834	2562	2234
4054474	106876	336	8376	2203	2115
27431932	74066	158	8044	1794	2108
4120574	508472	422	9572	2362	2236
23975171	41820	282	9381	1926	2701
76728941	18574	282	7315	1831	1587
67218751	28426	196	4569	1089	1058
5289330	107853	192	4188	1111	982
70097422	9118	166	4523	1160	973
2949736	61605	106	2929	688	772
93637441	1472	143	1389	682	575
6179188	12744	66	2457	735	546
14957752	43156	107	2082	613	548
68045464	8759	112	2184	575	539
73408694	4692	114	2071	605	478
5288835	71638	84	3950	510	512
83486162	2298	54	1107	330	268
57302247	62275	47	1179	300	296
5590793	28157	29	929	197	230
22386891	23760	29	617	172	127
68964100	4621	14	588	133	131
27231456	51272	12	847	121	145
92189585	1431	12	569	83	78
19192648	931279	1545	26789	7768	5783
69703723	58228	837	22357	5159	5005
73393323	13864	318	6134	1471	1274
32459128	60438	237	6159	1420	1331
69901506	14509	267	6513	1482	1451
