	shop_id	shop_name	shop_group_name	lng	lat	comment_num	good_rate	avg_price	taste_score	env_score	ser_score	weighted_hits	favor_list	verse_taxi_distance	route	public_duration	category_name	category_id
30	18991088	甬府	甬府	121.467233	31.226824	558	91.2	858	9.0	9.0	8.8	57401.1	冰镇极品小龙虾,油渣芋艿羹,宁波汤圆,堂做野生大黄鱼,宁式十八斩	-20265.0	杨高北路站(1口)->陕西南路站(地铁12号线)	1小时9分	本帮江浙菜	101
31	91036101	田月餐厅	田月餐厅	121.389177	31.177561	139	86.3	136	9.0	9.1	8.8	14197.3	红烧肉,熏鱼,田月手工冰糕,醉膏蟹,龙虾	-37552.0	杨高北路站(1口)->嘉善路站(地铁12号线)->合川路站(地铁9号线)	1小时31分	本帮江浙菜	101
32	5533680	农家菜老大(九亭店)	农家菜老大	121.327130	31.143274	2209	89.0	90	9.0	8.7	8.5	89648.5	麻糍,黄瓜苗,外婆红烧肉,土鸡汤,铁板明虾	-42958.0	杨高北路站(1口)->嘉善路站(地铁12号线)->九亭站(地铁9号线)	1小时40分	本帮江浙菜	101
33	3341992	农家菜老大(农家乐松江店)	农家菜老大	121.266125	31.044138	3182	89.0	89	9.0	8.5	8.2	124444.7	麻糍,土鸡汤,黄瓜苗,酱鸭,辣炒螺蛳	-60947.0	杨高北路站(1口)->嘉善路站(地铁12号线)->九亭站(地铁9号线)->洞泾港桥站(沪松线)	2小时35分	本帮江浙菜	101
34	21129800	金时代顺风大酒店(宁国路店)	金时代顺风大酒店	121.544251	31.271142	3235	89.7	130	9.0	8.7	8.5	81172.1	顺风乳鸽,顺风虾饺皇,老上海熏鱼,顺风臭豆腐,爆浆榴莲	-13467.0	杨高北路站(1口)->宁国路站(地铁12号线)	49分	本帮江浙菜	101
35	23484815	HOUSE家宴	HOUSE家宴	121.409297	31.192676	751	94.3	149	9.0	9.1	9.0	18989.4	八宝辣酱,响油鳝丝,黑椒牛肉粒,油爆虾,冰镇龙虾	-31320.0	杨高北路站(1口)->天潼路站(地铁12号线)->伊犁路站(地铁10号线)	1小时38分	本帮江浙菜	101
36	22171611	孔乙己尚宴	孔乙己尚宴	121.511376	31.249364	1003	89.4	534	9.0	9.1	8.5	63617.4	孔乙己茴香豆,尚宴特色焖牛肉,滋补炖响螺汤,龙虾汤贵妃泡饭,香煎东海鲜带鱼	-15567.0	杨高北路站(1口)->大连路站(地铁12号线)->世纪大道站(地铁4号线)->陆家嘴站(地铁2号线)	1小时14分	本帮江浙菜	101
37	67499671	196行菜	196行菜	121.494799	31.271997	702	90.7	71	9.0	8.3	8.9	11367.6	酸汤肥牛,花蛤炝猪肝,糯米红枣,酱爆河虾,香菇面筋	-16776.0	杨高北路站(1口)->大连路站(地铁12号线)->海伦路站(地铁4号线)	1小时4分	本帮江浙菜	101
38	92747027	环球港凯悦酒店享悦中餐厅	环球港凯悦酒店享悦中餐厅	121.418999	31.238093	69	88.4	337	9.0	9.3	9.1	10631.0	龙虾泡饭,黑蒜牛柳,豆浆油条冰激凌,宫保明虾球,石锅银鳕鱼	-25886.0	杨高北路站(1口)->大连路站(地铁12号线)->金沙江路站(地铁4号线)	1小时6分	本帮江浙菜	101
39	20930088	晶苑餐厅	晶苑餐厅	121.382335	31.182153	2152	89.9	264	9.0	9.1	8.6	35320.5	文火焖雪花牛肉,香煎带鱼,辣味浸花螺,招牌石锅豆腐,上海熏鱼	-37682.0	杨高北路站(1口)->天潼路站(地铁12号线)->龙柏新村站(地铁10号线)	1小时31分	本帮江浙菜	101
40	13797096	农家大院(纪王店)	农家大院	121.286533	31.231301	3357	91.2	83	9.0	8.7	8.6	40276.2	现做豆腐衣,散养鸡,金华桶饼,梅干菜烙饼,超级大麻球	-42765.0	杨高北路站(1口)->南京西路站(地铁12号线)->淞虹路站(地铁2号线)->纪翟路红卫路站(74路区间)	2小时16分	本帮江浙菜	101
41	5404756	上海小南国(均瑶店)	上海小南国	121.454957	31.204338	145	91.0	244	9.0	9.0	8.9	44183.8	两头乌红烧肉,香酥烤子鱼,蟹粉豆腐,黑松露炒建湖虾仁,八月桂花酒酿小圆子	-25602.0	杨高北路站(1口)->嘉善路站(地铁12号线)->肇嘉浜路站(地铁9号线)	1小时11分	本帮江浙菜	101
